imdbID,Title,WatchedDate,Rating10
tt0069033,Nunta de piatra,2015-11-18,6
tt0069089,Pink Flamingos,2018-09-06,6
tt0069191,Roma,2012-11-09,6
tt0069210,Salomè,2015-04-29,5
tt0069293,Solyaris,2012-10-20,8
tt0069467,Viskningar och rop,2012-09-26,9
tt0069687,Alice in den Städten,2014-05-02,8
tt0069704,American Graffiti,2019-02-07,7
tt0069762,Badlands,2012-06-22,9
tt0069920,I corpi presentano tracce di violenza carnale,2018-10-31,5
tt0069995,Don't Look Now,2013-10-01,6
tt0000070,Démolition d'un mur,2013-06-09,5
tt0070007,Du côté d'Orouët,2017-02-26,8
tt0070040,El espíritu de la colmena,2013-02-21,7
tt0070047,The Exorcist,2014-08-20,7
tt0070136,Die große Ekstase des Bildschnitzers Steiner,2018-10-14,7
tt0070217,Iluminacja,2014-11-27,8
tt0070260,Kaigenrei,2013-10-25,8
tt7028470,Herrliche Zeiten,2019-01-30,7
tt0070290,The Last Detail,2018-02-02,6
tt0070328,Live and Let Die,2012-10-20,6
tt0070334,The Long Goodbye,2013-05-27,8
tt0070374,Martha,2014-06-03,8
tt0070379,Mean Streets,2012-10-20,9
tt0070453,Les noces rouges,2013-06-13,6
tt0070460,La nuit américaine,2013-08-12,6
tt0070464,O Lucky Man!,2014-11-08,6
tt0070510,Paper Moon,2020-02-20,7
tt0070518,Pat Garrett & Billy the Kid,2020-05-10,7
tt0070531,Phase IV,2015-03-12,8
tt0070628,Sanatorium pod klepsydra,2015-03-29,6
tt0070723,Soylent Green,2012-11-17,5
tt0070735,The Sting,2012-10-20,6
tt0070820,Touki-Bouki,2014-06-24,8
tt0070849,Ultimo tango a Parigi,2014-11-26,8
tt0070917,The Wicker Man,2014-10-01,8
tt0071129,Amarcord,2012-11-09,6
tt0071141,Angst essen Seele auf,2012-10-20,8
tt0071230,Blazing Saddles,2020-05-26,5
tt0071249,Bring Me the Head of Alfredo Garcia,2020-05-20,8
tt0071315,Chinatown,2012-04-26,9
tt0071360,The Conversation,2011-10-13,9
tt0071381,Céline et Julie vont en bateau: Phantom Ladies Over Paris,2020-06-13,8
tt0071396,Messiah of Evil,2015-08-23,5
tt0071406,Den-en ni shisu,2014-01-30,8
tt0071458,Fontane Effi Briest,2014-05-11,7
tt0071483,Falsche Bewegung,2018-10-10,8
tt0071487,Le fantôme de la liberté,2013-01-20,6
tt0071562,The Godfather: Part II,2012-10-20,8
tt0071587,La gueule ouverte,2020-06-13,6
tt0071609,Himiko,2014-03-07,8
tt0071691,Jeder für sich und Gott gegen alle,2015-11-10,8
tt0071733,Lacombe Lucien,2017-02-06,8
tt0071737,Lancelot du Lac,2017-02-08,6
tt0071853,Monty Python and the Holy Grail,2012-04-26,8
tt0071859,Mossafer,2020-06-14,7
tt0071889,Na wylot,2015-08-18,7
tt0071994,Phantom of the Paradise,2020-05-26,9
tt0072208,Sto dney posle detstva,2015-12-08,7
tt0072271,The Texas Chain Saw Massacre,2016-05-21,8
tt0072295,Tinimbang ka ngunit kulang,2015-08-08,8
tt0072417,A Woman Under the Influence,2013-02-11,6
