imdbID,Title,WatchedDate,Rating10
tt0120347,Tomorrow Never Dies,2012-10-20,4
tt0120363,Toy Story 2,2013-08-02,6
tt0120371,Tren de sombras,2015-08-16,7
tt1204340,Tyrannosaur,2012-10-20,6
tt0120547,Yume no ginga,2014-10-06,8
tt1205489,Gran Torino,2012-10-20,8
tt0120586,American History X,2012-10-20,6
tt0120587,Antz,2013-08-02,6
tt0120623,A Bug's Life,2013-08-02,6
tt0120657,The 13th Warrior,2012-10-20,5
tt0120660,Enemy of the State,2012-10-20,5
tt0120663,Eyes Wide Shut,2011-08-09,9
tt0120669,Fear and Loathing in Las Vegas,2016-10-27,8
tt0120685,Godzilla,2012-10-20,4
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2012-10-20,8
tt0120762,Mulan,2013-08-02,6
tt0120789,Pleasantville,2019-02-12,7
tt0120804,Resident Evil,2012-08-31,2
tt0120815,Saving Private Ryan,2012-10-20,7
tt0120863,The Thin Red Line,2013-02-12,8
tt0120889,What Dreams May Come,2014-08-13,6
tt0120912,Men in Black II,2012-10-20,5
tt0120915,Star Wars: Episode I - The Phantom Menace,2012-10-20,5
tt1210166,Moneyball,2012-10-20,6
tt0121210,Der 90. Geburtstag oder Dinner for One,2013-05-18,7
tt0012134,Eldorado,2015-04-23,7
tt1216496,Madeo,2016-10-09,7
tt0121765,Star Wars: Episode II - Attack of the Clones,2012-10-20,5
tt0121766,Star Wars: Episode III - Revenge of the Sith,2012-10-20,6
tt1219047,Danse serpentine,2014-03-12,6
tt1221141,La mujer sin cabeza,2014-11-23,8
tt0122136,Yabu no naka no kuroneko,2013-07-11,6
tt0122151,Lethal Weapon 4,2012-10-20,5
tt0122480,Eu Sei Que Vou Te Amar,2015-05-22,6
tt0012253,Hard Luck,2013-11-12,6
tt0012255,The Haunted House,2013-11-13,6
tt1227378,"Fat, Sick & Nearly Dead",2016-10-25,5
tt0122770,Údolí vcel,2015-08-26,7
tt0012278,The 'High Sign',2013-11-22,6
tt1230385,Hwanghae,2012-10-20,8
tt1232790,Of Time and the City,2014-08-10,6
tt0123318,Vormittagsspuk,2018-10-16,6
tt1233227,Saw VI,2017-07-25,2
tt0123328,Heung Gong jai jo,2015-10-06,8
tt0123380,Anémic cinéma,2015-04-16,5
tt0123450,Ben ming nian,2015-10-03,6
tt0012349,The Kid,2013-06-08,6
tt1235790,Magic Trip: Ken Kesey's Search for a Kool Place,2015-11-01,6
tt1235841,Medianeras,2015-01-30,7
